(0.02, 0.02) 0.8406293186215287 3.145967817887602 0.8406293186215292 3.1459678978580623
(0.04, 0.04) 0.8568786660648917 3.1580711571212965 0.8568786660648956 3.158071236608065
(0.06, 0.06) 0.8729413232516763 3.170783976739738 0.8729413232516763 3.170784055739346
(0.08, 0.08) 0.8890038901977165 3.183496769104431 0.8890038901977163 3.1834968476168917
(0.1, 0.1) 0.904996064160965 3.1965811184593282 0.9049960641609648 3.1965811964831388
(0.12, 0.12) 0.920878738025198 3.210140332882947 0.9208787380252071 3.2101404104160216
(0.14, 0.14) 0.9369441568479724 3.223594468701497 0.936944156847973 3.2235945457421864
(0.16, 0.16) 0.9538916852808144 3.237061880943222 0.9538916852808137 3.2370619574838986
(0.18, 0.18) 0.9707760784481602 3.2508192002182286 0.9707760784481606 3.250819276257699
(0.2, 0.2) 0.9876610150295719 3.2645440989533157 0.9876610150295718 3.264544174491077
