(0.02, 0.02) 9.967237059665868 1.1414939478447061 1.1414939478447061
(0.04, 0.04) 9.967746183403973 1.14187330290366 1.14187330290366
(0.06, 0.06) 9.968255070401636 1.1422777651724743 1.1422777651724743
(0.08, 0.08) 9.968763718789766 1.1426827920646194 1.1426827920646194
(0.1, 0.1) 9.9692621787807 1.1429922271342416 1.1429922271342428
(0.12, 0.12) 9.969744495769323 1.143204663888674 1.143204663888674
(0.14, 0.14) 9.970241667366393 1.14347721313953 1.14347721313953
(0.16, 0.16) 9.970753947348424 1.143852922664115 1.143852922664115
(0.18, 0.18) 9.971268329401816 1.1442409744067492 1.1442409744067492
(0.2, 0.2) 9.971777419720006 1.1446200613795348 1.1446200613795352
